year,month,similarity
2011,7,0.0
2011,8,0.02134623690129294
2011,9,0.0014384125809868724
2011,10,0.0007189063843424123
2011,11,0.001463789622415107
2011,12,0.0028468465661127453
2012,1,0.0021365102003350657
2012,2,0.0006454899244939209
2012,3,0.0023857608980660024
2012,4,0.0024747369058540866
2012,5,0.0004962890055381389
2012,6,0.0013989238220650374
2012,7,0.0011496469283153632
2012,8,0.004281403528985487
2012,9,0.0014677617371640127
2012,10,0.0013080402425229233
2012,11,0.0011235301423464978
2012,12,0.0010782350798211697
2013,1,0.0019425633114126103
2013,2,0.0011706759697569851
2013,3,0.0017464695519292864
2013,4,0.0020757442866239173
2013,5,0.0019301463520371791
2013,6,0.0009287016845177898
2013,7,0.0007424237185412885
2013,8,0.0010421839768627592
2013,9,0.0012242929131682284
2013,10,0.0023932374577258207
2013,11,0.0035625361364556452
2013,12,0.002899132161707452
2014,1,0.0025244668051032123
2014,2,0.0038472097202540433
2014,3,0.0025845923132442124
2014,4,0.0024521351038463493
2014,5,0.001603994393619563
2014,6,0.002439050560596035
2014,7,0.0015379403864283828
2014,8,0.0015785419835818977
2014,9,0.0014084091750006045
2014,10,0.0021092062610674265
2014,11,0.0016856833278593368
2014,12,0.0018653642283616607
2015,1,0.0013914918988404369
2015,2,0.002788184249164513
2015,3,0.001997035535913459
2015,4,0.0018023606113598222
2015,5,0.002218512046518566
2015,6,0.0015781823919021163
2015,7,0.0017787398177224881
2015,8,0.0015503480216893682
2015,9,0.0016982857709138897
2015,10,0.0012616293984610539
2015,11,0.0010182210208340436
2015,12,0.0011292161006910464
2016,1,0.0009759812696011597
2016,2,0.0008811459386530413
2016,3,0.001523618781561928
2016,4,0.0013476163950400495
2016,5,0.001296703963071461
2016,6,0.0008596827648345643
2016,7,0.0010165789375860812
2016,8,0.001013325731323315
2016,9,0.0008101466831378595
2016,10,0.0008193394121727838
2016,11,0.0007607503467730119
2016,12,0.0009077940668821801
2017,1,0.0008129301502300647
2017,2,0.000956274370294493
2017,3,0.0008827177798606354
2017,4,0.0008403836699647373
2017,5,0.001079004208105339
2017,6,0.0011309245034292776
2017,7,0.0016443632418870668
2017,8,0.0017864150055526375
2017,9,0.0018082091866386772
2017,10,0.0010133298807151173
2017,11,0.0006393338794518132
2017,12,0.0006342130416518521
2018,1,0.0006590180695851379
2018,2,0.000667694134600555
2018,3,0.0008410846929311466
2018,4,0.0009301540311462006
2018,5,0.0009037454365714209
2018,6,0.0011625662229836802
2018,7,0.0011816755266399268
2018,8,0.0012535147366223027
2018,9,0.0012476807357975908
2018,10,0.001282685085349401
2018,11,0.0015358401030770524
2018,12,0.0016548989478113003
2019,1,0.0019691014784826173
2019,2,0.0015747478938294547
2019,3,0.0011415105997555515
2019,4,0.00166264210673645
2019,5,0.0013280392380543955
2019,6,0.0028734697668792745
2019,7,0.000902407017950804
2019,8,0.0009038685311008048
2019,9,0.0011262076214857111
2019,10,0.0009860252872654675
2019,11,0.0008558709538753295
2019,12,0.0011456366238772736
2020,1,0.0009224658492417623
2020,2,0.000964027989431594
2020,3,0.002517080630036259
2020,4,0.0035100216091346376
2020,5,0.00294903833621857
2020,6,0.0026062450330447975
2020,7,0.0024975651150597454
2020,8,0.0018380061702620157
2020,9,0.001973951779431274
2020,10,0.0021928962970176056
2020,11,0.001997327873531033
2020,12,0.0016685092951768254
2021,1,0.0033359397269889413
2021,2,0.004561543083083117
2021,3,0.004016869923707603
2021,4,0.005646275159234049
2021,5,0.005102785289102997
2021,6,0.005426800929831712
2021,7,0.006567428981986806
2021,8,0.0070789154751391865
2021,9,0.00695092613244876
2021,10,0.00698155779280935
2021,11,0.007394343338792601
2021,12,0.006421161328445676
2022,1,0.006159714979713889
2022,2,0.006811734528924388
2022,3,0.004007068968168623
2022,4,0.0018448822847122192
2022,5,0.001864651608629638
2022,6,0.0018040884076182854
2022,7,0.0016495456100484034
2022,8,0.0015516782549628728
2022,9,0.0014087380049902138
2022,10,0.0016708149077301648
2022,11,0.001585454882130194
2022,12,0.0017069640419633946
2023,1,0.0014962263843581946
2023,2,0.0014840860157402248
2023,3,0.0015498586127537378
2023,4,0.0013790802570107156
2023,5,0.0015531337534833614
2023,6,0.005810708114213459
2023,7,0.002679023498610231
2023,8,0.0011535221766961954
2023,9,0.004237945035346506
2023,10,0.0009481283055030258
2023,11,0.0038485557003741376
