year,month,similarity
2007,5,0.0010158247362563255
2007,6,0.0
2007,7,0.0
2007,9,0.0016750418760469001
2007,10,0.0022617751033888363
2007,11,0.0037128445607608972
2007,12,0.001212410026765043
2008,1,0.0
2008,3,0.0
2008,5,0.002771339127219614
2008,6,0.0029962261692204665
2008,7,0.0
2008,8,0.0
2008,9,0.0015337423312883167
2008,10,0.0013157894736841999
2008,11,0.0
2008,12,0.0025670146764218333
2009,1,0.0
2009,2,0.001227901740546986
2009,3,0.0
2009,4,0.0
2009,5,0.0
2009,6,0.0007733037535321066
2009,7,0.003938008148526175
2009,8,0.0
2009,9,0.0028982887927826743
2009,10,0.0002927458054321844
2009,11,0.0003121621646662911
2009,12,0.0006930458641485134
2010,1,0.036226417971209186
2010,2,0.0007030963387543484
2010,3,0.0038881401204108636
2010,4,0.0016214895017158408
2010,5,0.00048368497667474446
2010,6,0.0017677577215709627
2010,7,0.007195500334915891
2010,8,0.001120931286524657
2010,9,0.005922524780597271
2010,10,0.002104320935704943
2010,11,0.0008260047689028911
2010,12,0.003783378706549833
2011,1,0.00046669978020903453
2011,2,0.0
2011,3,0.0021281782251903335
2011,4,0.001893750053147359
2011,5,0.001907682263622076
2011,6,0.0018052658965298134
2011,7,0.00105816937762857
2011,8,0.0018122278611483783
2011,9,0.002007682836277337
2011,10,0.0016880673483163845
2011,11,0.0023502811812511257
2011,12,0.0017273596589262791
2012,1,0.002002737163783753
2012,2,0.0005665182516200956
2012,3,0.0018315801347795469
2012,4,0.004393979839141389
2012,5,0.001985119121901284
2012,6,0.0007405040801750037
2012,7,0.0010698733709604176
2012,8,0.001068422668210387
2012,9,0.003323651567507491
2012,10,0.0016286073225264923
2012,11,0.0021087326004987045
2012,12,0.00252230222995662
2013,1,0.0012081654832754062
2013,2,0.0017682811424997958
2013,3,0.0013058412479030994
2013,4,0.001304999929556927
2013,5,0.0011676583982402732
2013,6,0.0019689178450380367
2013,7,0.001373643133857239
2013,8,0.0019628720308106696
2013,9,0.0028429708313462273
2013,10,0.001526445173492165
2013,11,0.0016054992911764794
2013,12,0.003143579779327593
2014,1,0.0013998367069375382
2014,2,0.0020137395666634567
2014,3,0.001132834606944623
2014,4,0.0020381845009290905
2014,5,0.0013733649055681983
2014,6,0.002127818942068756
2014,7,0.0027311807454420784
2014,8,0.001571234158493282
2014,9,0.0026189225707728427
2014,10,0.0018431838496580568
2014,11,0.0022130007774374258
2014,12,0.00214289366300013
2015,1,0.0019399614073483422
2015,2,0.0023741466830028623
2015,3,0.0017013864153696426
2015,4,0.0029233420965140244
2015,5,0.0020559270364903285
2015,6,0.0017571276407979826
2015,7,0.002922137456782749
2015,8,0.00222730777112537
2015,9,0.002915198082008301
2015,10,0.002142228543265737
2015,11,0.003235852003723598
2015,12,0.0023350126353005327
2016,1,0.002325986265209601
2016,2,0.0018983259902709282
2016,3,0.002803594099140191
2016,4,0.002969065858660236
2016,5,0.002920226852295496
2016,6,0.0030533692895629563
2016,7,0.00303574224949503
2016,8,0.002504334671673269
2016,9,0.0022493752700820315
2016,10,0.002136045126161432
2016,11,0.002785053661045316
2016,12,0.0025071261760248576
2017,1,0.002459442139405239
2017,2,0.002425039444139617
2017,3,0.0027412638235268932
2017,4,0.0029893473089616673
2017,5,0.002402816859181366
2017,6,0.002305210937224833
2017,7,0.0027790503511980176
2017,8,0.002922232309203014
2017,9,0.00274539070125575
2017,10,0.002335063701205221
2017,11,0.003083792628155269
2017,12,0.0027162270390794956
2018,1,0.0031111987959059496
2018,2,0.003123253600921608
2018,3,0.0029657290303409297
2018,4,0.003059295257738847
2018,5,0.0029868338952043104
2018,6,0.002948457343111481
2018,7,0.0029482417341416445
2018,8,0.0029233588485766218
2018,9,0.002464993773335445
2018,10,0.0025215868031970646
2018,11,0.0030620278854286225
2018,12,0.003416222499287215
2019,1,0.0030136132561352762
2019,2,0.002921563525218694
2019,3,0.0031409337032309312
2019,4,0.003177319844890191
2019,5,0.003526243132450764
2019,6,0.002720782997449403
2019,7,0.003007479137378651
2019,8,0.0034027189990333507
2019,9,0.003150577327243871
2019,10,0.0031017908057145846
2019,11,0.003275612232443197
2019,12,0.003401157382661942
2020,1,0.003423111780797675
2020,2,0.0032668443757215425
2020,3,0.0032284025213751033
2020,4,0.0030188187794406734
2020,5,0.0026187434644186335
2020,6,0.002766950974398239
2020,7,0.003304559013297467
2020,8,0.0029890973791197547
2020,9,0.0028992793999604444
2020,10,0.0025298991682474424
2020,11,0.0024787972866407394
2020,12,0.0030488819714207323
2021,1,0.0027515901349166125
2021,2,0.002703932711397781
2021,3,0.0033563137221821323
2021,4,0.0029117167637438303
2021,5,0.002840675243179789
2021,6,0.00262078336324308
2021,7,0.002821777404747831
2021,8,0.0036592106244079663
2021,9,0.002400704689832086
2021,10,0.0029282449898214305
2021,11,0.0028444105978143092
2021,12,0.0029515170956118525
2022,1,0.002673739603419692
2022,2,0.0026436627201715294
2022,3,0.003004623275903693
2022,4,0.002813962005835835
2022,5,0.0026205447001274086
2022,6,0.0024780516868966726
2022,7,0.0034625003481506943
2022,8,0.00297079490055477
2022,9,0.002619902432902343
2022,10,0.0026387412813781105
2022,11,0.002610684965924458
2022,12,0.0025892413618492376
2023,1,0.0023083349342889053
2023,2,0.002577020839909152
2023,3,0.0031128340914970145
2023,4,0.00262395420378169
2023,5,0.0023130434207307795
2023,6,0.0021972572391848327
2023,7,0.002534205580992224
2023,8,0.0029439807660139638
2023,9,0.002670155792459735
2023,10,0.002292821375213479
2023,11,0.002088145328118094
2023,12,0.0025560723240994846
2024,1,0.0022686122129184976
2024,2,0.0021320129868985086
2024,3,0.0025845304554720106
2024,4,0.0023705230093424563
2024,5,0.0019879694421169143
2024,6,0.002197833768355907
2024,7,0.0023936048640118167
2024,8,0.002122917440401096
2024,9,0.00215559006635118
2024,10,0.002053326199256003
2024,11,0.001995682794707433
