year,month,similarity
2007,5,0.008979346590972687
2007,6,0.0064935064935064
2007,7,0.0
2007,9,0.008829920920103667
2007,10,0.013899553529358618
2007,11,0.01396865610123597
2007,12,0.009656393407555771
2008,1,0.0132890365448504
2008,3,0.0072992700729927
2008,5,0.012109623339628214
2008,6,0.013459482524493633
2008,7,0.009441662820144567
2008,8,0.0030674846625766664
2008,9,0.00864906582046445
2008,10,0.012042977329859083
2008,11,0.0104895104895104
2008,12,0.013138807798955
2009,1,0.0143540669856459
2009,2,0.012158997322265868
2009,3,0.011366169970409434
2009,4,0.0129032258064516
2009,5,0.0147058823529411
2009,6,0.008705931399724726
2009,7,0.013633777810578722
2009,8,0.0
2009,9,0.010965579015236263
2009,10,0.0055961001750242136
2009,11,0.01051002038538446
2009,12,0.007510733563929207
2010,1,0.04423715261818898
2010,2,0.008503573578079548
2010,3,0.014407489336522075
2010,4,0.012992193046244875
2010,5,0.006684846854372375
2010,6,0.013454156171482724
2010,7,0.021134014754973923
2010,8,0.010510114566769393
2010,9,0.020698754388261846
2010,10,0.011906513928049615
2010,11,0.010757611313395324
2010,12,0.015911720166392248
2011,1,0.009674257385737552
2011,2,0.006316821999209199
2011,3,0.011760387647323692
2011,4,0.01344214198761237
2011,5,0.0133569918106556
2011,6,0.013276367217375925
2011,7,0.012108216890901987
2011,8,0.00991218627668008
2011,9,0.013532815317752743
2011,10,0.013092571123939637
2011,11,0.014269339373292856
2011,12,0.011591534678232956
2012,1,0.014639846817534979
2012,2,0.007287395622990853
2012,3,0.011684957756267928
2012,4,0.015569376332264958
2012,5,0.011603430998968382
2012,6,0.008175066403968846
2012,7,0.012036808403183734
2012,8,0.010615390855452638
2012,9,0.01487288161807234
2012,10,0.011023143349311692
2012,11,0.012479341893776207
2012,12,0.010854316394452557
2013,1,0.008140735052378074
2013,2,0.012743674152700469
2013,3,0.011567466200507899
2013,4,0.010834227210356918
2013,5,0.011895915988386295
2013,6,0.012873403795169285
2013,7,0.011534871226478647
2013,8,0.01147097436134085
2013,9,0.012873870800690213
2013,10,0.011902539275242872
2013,11,0.010681051824591472
2013,12,0.01703380650539083
2014,1,0.011568615379014928
2014,2,0.012975468219259734
2014,3,0.009527383912340212
2014,4,0.01235789484525508
2014,5,0.010618857727410664
2014,6,0.013357329254589746
2014,7,0.014122388320256179
2014,8,0.01023626679286288
2014,9,0.012998011680352625
2014,10,0.012406523737298327
2014,11,0.012079494127024484
2014,12,0.013083654453512325
2015,1,0.014051902277165705
2015,2,0.013523828397254899
2015,3,0.011194650848186266
2015,4,0.014961670124678103
2015,5,0.012413096644354023
2015,6,0.0119312009892334
2015,7,0.01375648345869177
2015,8,0.012184355109286064
2015,9,0.013896623680998041
2015,10,0.01190227775737751
2015,11,0.014158788805894823
2015,12,0.012934181595351566
2016,1,0.012595340764044644
2016,2,0.012237837222024857
2016,3,0.013490607288420157
2016,4,0.014085000109729942
2016,5,0.014360660925677476
2016,6,0.012970334509641175
2016,7,0.014441987511805556
2016,8,0.012629042601114027
2016,9,0.012864431097253957
2016,10,0.011626607548534701
2016,11,0.013625842548008766
2016,12,0.013356673640828407
2017,1,0.012800804077238593
2017,2,0.013011012182381092
2017,3,0.013597972124651577
2017,4,0.01385893569915691
2017,5,0.012888324962737972
2017,6,0.012670068142309414
2017,7,0.01330532547541107
2017,8,0.013815860098251772
2017,9,0.013526666664402817
2017,10,0.011926499887407968
2017,11,0.01440206995097313
2017,12,0.01366074371874579
2018,1,0.014491276582104362
2018,2,0.014211553772028932
2018,3,0.014018377519918114
2018,4,0.013577459916129637
2018,5,0.013461526069665442
2018,6,0.013714453004909661
2018,7,0.013978203217040543
2018,8,0.01359530409441115
2018,9,0.012282910829945912
2018,10,0.013049084683915425
2018,11,0.014120531762576608
2018,12,0.0149623006034773
2019,1,0.0139140859465007
2019,2,0.014311038095887187
2019,3,0.014162028142351981
2019,4,0.014272939275264062
2019,5,0.014969848489706146
2019,6,0.012676385004026668
2019,7,0.013771999868974058
2019,8,0.014505438407599505
2019,9,0.013974051929596628
2019,10,0.013830535347403824
2019,11,0.014168884524552141
2019,12,0.014774315984070058
2020,1,0.014663625602818418
2020,2,0.014745009631104243
2020,3,0.014493651146502827
2020,4,0.013736666211836928
2020,5,0.012385999846070915
2020,6,0.012996445614127763
2020,7,0.014357742608658138
2020,8,0.013720551616494167
2020,9,0.013730515065319807
2020,10,0.012427810966623083
2020,11,0.0128205106667668
2020,12,0.013938401515134202
2021,1,0.013488933738089409
2021,2,0.013253270328876696
2021,3,0.014436313740068629
2021,4,0.01320042052853454
2021,5,0.013296457893344445
2021,6,0.012630026966402474
2021,7,0.013618287239407627
2021,8,0.015036761842592863
2021,9,0.012146612883225976
2021,10,0.013388553305161234
2021,11,0.013407496629024249
2021,12,0.01357615190478906
2022,1,0.01334210122086321
2022,2,0.013056287613283436
2022,3,0.013965467754108235
2022,4,0.013146874982825477
2022,5,0.0127748818950123
2022,6,0.012806362524894683
2022,7,0.01470332719217792
2022,8,0.013683529176579867
2022,9,0.01314877070958223
2022,10,0.012836555941666855
2022,11,0.012971944476324656
2022,12,0.012615693655686053
2023,1,0.012597858389720728
2023,2,0.012825775109248086
2023,3,0.013966727054078138
2023,4,0.013086805570508382
2023,5,0.01201838950537046
2023,6,0.012012111950213039
2023,7,0.012683104893413016
2023,8,0.013476629432105008
2023,9,0.012871867235463397
2023,10,0.011869105161744732
2023,11,0.011350945672842748
2023,12,0.012359979594232753
2024,1,0.011800440128303684
2024,2,0.011375677482226189
2024,3,0.012067214825697873
