PC,term,estimate,std.error,statistic,p.value
similarity_liwc_hear,(Intercept),1.4659882984510846e-4,5.4568374208486745e-5,2.6865163562506997,0.008798750412792492
similarity_liwc_hear,time,-6.246189957937026e-9,2.964757828374395e-9,-2.106812872929278,0.03830723273687636
similarity_liwc_feel,(Intercept),1.0586467115260521e-4,3.593566378793414e-5,2.9459500672463057,0.00422919216635908
similarity_liwc_bio,(Intercept),0.0018270049393422976,1.7213538570834923e-4,10.613767365867533,7.251749228679051e-17
similarity_liwc_bio,time,-8.72224773051194e-8,9.352298647734015e-9,-9.326314373659644,2.245844495112611e-14
similarity_liwc_bio,ONSET,4.1931024479925366e-5,1.7067405475932352e-5,2.4567896121677375,0.01621065102839313
similarity_liwc_bio,POST,1.0843022036302792e-7,3.4343640962267635e-8,3.157213892439566,0.002255743917216097
similarity_liwc_body,(Intercept),8.399518876588258e-4,1.0525546551732015e-4,7.980126101105969,9.531145812574794e-12
similarity_liwc_body,time,-3.8841781143797936e-8,5.718641427347737e-9,-6.792134397174901,1.8610164040062619e-9
similarity_liwc_health,(Intercept),6.46037841603863e-4,9.151378957468007e-5,7.059458958113216,5.750103345355626e-10
similarity_liwc_health,time,-3.1221784008059304e-8,4.97204155302731e-9,-6.279469645431544,1.7166505823362478e-8
similarity_liwc_health,ONSET,2.2662796529352585e-5,9.073688985462664e-6,2.497638674376166,0.014580151168600574
similarity_liwc_health,POST,8.808145430923672e-8,1.8258400033880308e-8,4.824160613514474,6.719921132317384e-6
similarity_liwc_sexual,(Intercept),3.542633060788459e-5,8.116706711712046e-6,4.364618787662486,3.816491664661841e-5
similarity_liwc_sexual,time,-1.8039602536951747e-9,4.4098931135875244e-10,-4.09071196790895,1.0285051138511731e-4
similarity_liwc_relativ,(Intercept),0.0018316014368040066,2.849600069279815e-4,6.427573667440676,9.077478674213642e-9
similarity_liwc_relativ,time,-4.280111837200911e-8,1.5482180357536872e-8,-2.764540741909981,0.007091819665215339
similarity_liwc_motion,(Intercept),2.1311419090740152e-4,7.20445982195943e-5,2.95808702073433,0.004082320537159806
similarity_liwc_space,(Intercept),8.071533532262253e-4,1.7713414910345735e-4,4.556734866266795,1.8661574477140378e-5
similarity_liwc_space,ONSET,-3.539698399126286e-5,1.7563038151291216e-5,-2.0154248761715814,0.04726097060136209
similarity_liwc_time,(Intercept),4.1682490468065894e-4,1.1210219869607898e-4,3.718258067450717,3.733096834188231e-4
similarity_liwc_work,time,2.149347163658321e-8,8.685466615467923e-9,2.4746478903396563,0.01547873159434718
similarity_liwc_achieve,(Intercept),2.428230721679424e-4,1.1770843283793415e-4,2.062919931168154,0.04240572416374328
similarity_liwc_leisure,(Intercept),1.9567358938602566e-4,7.445585550993941e-5,2.6280483656507636,0.010314443015953448
similarity_liwc_assent,POST,1.973517930170025e-9,8.940152345176642e-10,2.2074768460011422,0.030182113132851195
similarity_liwc_nonfl,(Intercept),2.5401051774296093e-5,4.941413663746428e-6,5.140442290969381,1.938936697684859e-6
similarity_liwc_nonfl,time,-1.007050900686452e-9,2.684722617326936e-10,-3.7510426372804564,3.342275356707503e-4
similarity_liwc_filler,POST,3.4670806105103767e-9,6.327397270745194e-10,5.479473568919831,4.928196905974367e-7
